"","accession","n_seeds","total_area","mean_area","seed_area_sd","mean_convex_hull_area","total_perimeter","mean_perimeter","mean_seed_length","mean_seed_width","mean_seed_extent","mean_solidity","mean_equi_dia","mean_aspect_ratio","plant_id","seedlot","remainder_seed_weight_g","seed_5rac_wt_g","number_of_racemes","subsample","total_seed_weight_g","image_weights_g","seeds_per_g"
"1","2386",130,70575.5,542.888461538462,415.41591778548,566.246153846154,11288.0387835503,86.8310675657712,30.2193476456862,21.4143624855922,0.664118536394444,0.948396801563978,24.5304405007137,0.709802591577702,"Ta07912","Oa087AA087249_seed_lot",0.2366,0.1121,NA,NA,0.3487,0.1121,1159.67885816236
"2","2387",30,23314,777.133333333333,172.243058682688,799.2,3219.69376301765,107.323125433922,37.3518682479858,26.6188558896383,0.698092393316518,0.967586257413834,31.1349556186259,0.709460566591749,"Ta07334","Oa071AA086808_seed_lot",1.2727,0.0447,NA,NA,1.3174,0.0447,671.140939597316
"3","2388",31,24852.5,801.693548387097,191.6705801377,829.08064516129,3374.24505937099,108.846614818419,37.4804849932271,27.3399283347591,0.699976238635969,0.965653097110123,31.6095908575625,0.730271518845817,"Ta07339","Oa071AA086808_seed_lot",0.2189,0.0542,NA,NA,0.2731,0.0542,571.955719557196
"4","2389",97,106143,1094.25773195876,96.3039922535357,1126.47422680412,12352.2410062551,127.342690786136,42.3703269958496,33.5521303747118,0.72013369558888,0.971397997837723,37.2880182486132,0.792698335209224,"Ta07914","Oa087AA087249_seed_lot",0.5513,0.4023,NA,0.2426,0.9536,0.2426,399.835119538335
"5","2390",139,84938,611.064748201439,80.516692718198,628.456834532374,13167.9466229677,94.7334289422138,31.9190243371099,24.8840402218935,0.719738420362004,0.972394472268149,27.8320862009745,0.782240726898744,NA,NA,0.129,0.1596,NA,NA,0.2886,0.1596,870.927318295739
"6","2391",22,14125,642.045454545455,341.936638139531,662.227272727273,2041.86621367931,92.812100621787,30.9619607491927,24.7043014873158,0.695036566023874,0.963554169831556,27.1414162686505,0.783748160034624,"Ta07407","Oa072AA086834_seed_lot",0.9885,0.0263,NA,NA,1.0148,0.0263,836.501901140684
"7","2392",27,22141,820.037037037037,81.9215062781635,845.018518518518,2980.69881725311,110.396252490856,37.4151378914162,28.4617085633455,0.714668879887174,0.970566347566595,32.2734287466018,0.766097057771428,"Ta07535","Oa076AA086940_seed_lot",0.1683,0.0422,NA,NA,0.2105,0.0422,639.810426540284
"8","2393",40,29525.5,738.1375,91.5022059072755,758.8875,4149.99945390224,103.749986347556,33.9220378398895,28.2237476825714,0.721700694621239,0.972563405528053,30.5966202068993,0.838272268753255,"Ta07305","Oa070AA086796_seed_lot",0.3309,0.0566,NA,NA,0.3875,0.0566,706.713780918728
"9","2394",131,110816.5,845.927480916031,167.087415193105,871.748091603053,14537.0849204063,110.970113896232,36.4687752760094,29.9289129126163,0.711017339146452,0.966836302495455,32.5527645209316,0.822869571141062,"Ta07405","Oa072AA086834_seed_lot",0.6451,0.2446,NA,NA,0.8897,0.2446,535.56827473426
"10","2395",48,41615.5,866.989583333333,213.037367853507,896.65625,5446.57216870785,113.470253514747,38.6392358144124,28.7369345327218,0.706013417987247,0.963876462281843,32.8098451024961,0.740015515075496,NA,NA,0.0096,0.0956,"2",NA,0.1052,0.0956,502.092050209205
"11","2396",108,78287,724.87962962963,77.3552271663331,744.805555555556,11103.9870475531,102.814694884751,33.9904246683474,27.6198619383353,0.721545624752449,0.973425835700275,30.3375951665388,0.816277336104239,"Ta07406","Oa072AA086834_seed_lot",2.0239,0.2819,NA,0.1645,2.3058,0.1645,656.534954407295
"12","2397",29,12856,443.310344827586,231.049021305665,457.155172413793,2276.37588059902,78.4957200206559,26.2919592364081,20.8949547800524,0.7029698458308,0.966302100041969,22.9839089056923,0.799735586897575,"Ta07264","Oa070AA086772_seed_lot",4.8378,0.0235,NA,NA,4.8613,0.0235,1234.04255319149
"13","2398",50,28315,566.3,239.63367025184,585.95,4519.37917709351,90.3875835418701,30.7652876853943,23.0838020038605,0.689524322437756,0.959727946414416,26.106852601307,0.753506051672508,"Ta07469","Oa074AA086884_seed_lot",1.9407,0.0454,NA,NA,1.9861,0.0454,1101.32158590308
"14","2399",33,10823,327.969696969697,210.81886254088,342.121212121212,2267.26318085194,68.7049448743011,23.8494228883223,17.336026206161,0.67302981606346,0.95526702349667,19.5860681080354,0.726192617623062,"Ta07409","Oa072AA086834_seed_lot",1.5812,0.0147,NA,NA,1.5959,0.0147,2244.89795918367
"15","2400",132,101680.5,770.306818181818,93.0352606496585,791.958333333333,13976.4188399315,105.881960908572,34.9281060767896,28.5518572836211,0.724117328388782,0.972660186792365,31.2667784191867,0.820096828916309,"Ta07308","Oa070AA086796_seed_lot",2.1915,0.2194,NA,NA,2.4109,0.2194,601.640838650866
"16","2401",114,101342.5,888.969298245614,173.797872186325,913.201754385965,12938.6745564938,113.497145232401,38.0839123976858,29.9490305373543,0.721009260378626,0.972129662481501,33.3316288731619,0.786526773726958,"Ta07533","Oa076AA086940_seed_lot",9.8852,0.8865,NA,0.2317,10.7717,0.2317,492.015537332758
"17","2402",147,98628,670.938775510204,119.26050538085,691.095238095238,14581.1366583109,99.1914058388496,33.4160719436853,25.9239955564745,0.709267321040184,0.966475169676854,29.0171907222421,0.776321136475286,"Ta07306","Oa070AA086796_seed_lot",0.6527,0.1924,NA,0.1148,0.8451,0.1148,1280.48780487805
