,Midoenvelope_ID,whole_plant_seed_wt_g,five_raceme_mass_g,number_of_racemes,Sub Sample,notes,Unnamed: 6,imageFile,imageName,weightMeasured
0,2386,0.2366,0.1121,,,,132,True,2386,True
1,2387,1.2727,0.0447,,,,,True,2387,True
2,2388,0.2189,0.0542,,,,,True,2388,True
3,2389,0.5513,0.4023,,0.2426,,,True,2389,True
4,2390,0.129,0.1596,,,,,True,2390,True
5,2391,0.9885,0.0263,,,,,True,2391,True
6,2392,0.1683,0.0422,,,,,True,2392,True
7,2393,0.3309,0.0566,,,,,True,2393,True
8,2394,0.6451,0.2446,,,,,True,2394,True
9,2395,0.0096,0.0956,2,,,,True,2395,True
10,2396,2.0239,0.2819,,0.1645,,,True,2396,True
11,2397,4.8378,0.0235,,,,,True,2397,True
12,2398,1.9407,0.0454,,,,,True,2398,True
13,2399,1.5812,0.0147,,,,,True,2399,True
14,2400,2.1915,0.2194,,,,,True,2400,True
15,2401,9.8852,0.8865,,0.2317,,,True,2401,True
16,2402,0.6527,0.1924,,0.1148,,,True,2402,True
17,2403,0.7333,0.1831,,,,,True,2403,True
18,2404,0.5251,0.0059,,,,,True,2404,True
19,2405,2.4684,0.595,,0.2411,,,True,2405,True
20,2406,0.1271,0.0724,,,,,True,2406,True
21,2407,0.1921,0.0138,,,,,True,2407,True
22,2408,0.2631,0.1757,,,,,True,2408,True
23,2409,0.1428,0.0144,,,,,True,2409,True
24,2410,1.0106,0.4955,,0.2576,,,True,2410,True
25,2411,0.2365,0.0939,,,,,True,2411,True
26,2412,0.1815,0.0131,,,,,True,2412,True
27,2413,0.0054,0.0422,,,,,True,2413,True
28,2414,0.5199,0.0111,,,,,True,2414,True
29,2415,0.0144,0.0033,2,,,,True,2415,True
30,2416,0.6581,0.51,,0.2401,,,True,2416,True
31,2417,0.5186,0.0274,,,,,True,2417,True
32,2418,0.005,0,,,,,False,2418,
33,2419,0.5295,0.8387,,0.281,,,True,2419,True
34,2420,0.6766,0.1216,,,,,True,2420,True
35,2421,0.4695,0.0185,,,,,True,2421,True
36,2422,0.011,0.1751,,0.0794,,,False,2422,
37,2423,0.3426,0.6731,,0.2353,,,True,2423,True
38,2424,0.7429,0.3275,,0.1815,,,True,2424,True
39,2425,1.0634,0.3057,,,,,True,2425,True
40,2426,0.58,0.2092,,,,,True,2426,True
41,2427,2.8544,0.2122,,,,,True,2427,True
42,2428,0.2094,0.1243,,,,,True,2428,True
43,2429,1.2884,0.1282,,,,,True,2429,True
44,2430,1.6692,0.3275,,0.1888,,,True,2430,True
45,2431,0.0027,0.0392,,,,,True,2431,True
46,2432,2.1203,0.2092,,,,,True,2432,True
47,2433,0.5943,0.0079,,,,,True,2433,True
48,2434,2.889,0.2314,,0.1209,,,True,2434,True
49,2435,0.3664,0.1326,,,,,True,2435,True
50,2436,2.1064,0.0785,,,,,True,2436,True
51,2437,1.8393,0.1129,,,,,True,2437,True
52,2438,1.8552,0.432,,0.2569,,,True,2438,True
53,2439,1.5948,0.1544,,,,,True,2439,True
54,2440,3.375,0.1561,,,,,True,2440,True
55,2441,2.4277,0.1351,,,,,True,2441,True
56,2442,5.1546,0.1866,,0.1099,,,True,2442,True
57,2443,0.5606,0.2002,,0.1135,,,True,2443,True
58,2444,2.3762,0.1313,,,,,True,2444,True
59,2445,1.3357,0.1184,,,,,True,2445,True
60,2446,5.5746,0.1056,,,,,True,2446,True
61,2447,0.9514,0.3148,,0.1687,,,True,2447,True
62,2448,0.746,0.4172,,0.2721,,,True,2448,True
63,2449,2.2535,0.3887,,0.1733,,,True,2449,True
64,2450,6.7018,0.4286,,0.3163,,,True,2450,True
65,2451,1.6887,0.1649,,0.1087,,,True,2451,True
66,2452,1.237,0.2124,,0.131,,,True,2452,True
67,2453,1.8013,0.2769,,0.1759,,,True,2453,True
68,2454,0.9302,0.153,,,,,True,2454,True
69,2455,3.7449,0.2216,,0.1606,,,True,2455,True
70,2456,5.9861,0.0221,,,,,True,2456,True
71,2457,1.623,0.136,,,,,True,2457,True
72,2458,5.3797,0.4133,,0.1664,,,True,2458,True
73,2459,1.088,0.0538,,,,,True,2459,True
74,2460,3.3629,0.1244,,,,,True,2460,True
75,2461,2.3818,0.0846,,,,,True,2461,True
76,2462,1.5713,0.3584,,0.2163,,,True,2462,True
77,2463,0.4593,0.4028,,0.2609,,,True,2463,True
78,2464,1.7339,0.1824,,0.1419,,,True,2464,True
79,2465,5.628,0.3093,,0.2021,,,True,2465,True
80,2466,2.0559,0.1834,,,,,True,2466,True
81,2467,10.7383,0.2405,,0.0846,,,True,2467,True
82,2468,2.3987,0.6894,,0.154,,,True,2468,True
83,2469,3.8507,0.0454,,,,,True,2469,True
84,2470,7.8632,0.7102,,0.2713,,,True,2470,True
85,2471,0,0,0,,,,False,2471,
86,2472,0.7549,0.9191,,0.3255,,,True,2472,True
87,2473,0.0324,0,,,,,True,2473,True
88,2474,0.0113,0.0064,,,,,True,2474,True
89,2475,0.0017,0,0,,,,False,2475,
90,2476,0.078,0.0282,,,,,True,2476,True
91,2477,5.5364,0,,,,,False,2477,
92,2478,5.219,1.1824,,0.5139,,,False,2478,
93,2479,1.9227,0.1555,,,,,False,2479,
94,2480,0.175,0.0972,,,,,True,2480,True
95,2481,5.8951,0.8078,,0.336,,,True,2481,True
96,2482,4.8143,1.1636,,0.2836,,,False,2482,
97,2483,3.224,0.4107,,0.2169,,,True,2483,True
98,2484,1.5998,0.2556,,,,,False,2484,
99,2485,0.9385,0.2562,,0.1356,,,True,2485,True
100,2486,4.9259,0.1249,,,,,True,2486,True
101,2487,0.012,0.0229,,,,,True,2487,True
102,2488,1.5999,0.6225,,0.2122,,,True,2488,True
103,2489,3.2532,0.3828,,0.176,,,True,2489,True
104,2490,0,0,No seed,,,,False,2490,
105,2491,5.1456,0.6144,,0.2905,,,True,2491,True
106,2492,4.7173,0.2681,,0.2135,,,True,2492,True
107,2493,7.6686,0.4674,,0.2084,,,True,2493,True
108,2494,2.0733,0.1076,,,,,True,2494,True
109,2495,2.3911,0.1376,,,,,True,2495,True
110,2496,3.0391,0.0835,,,,,True,2496,True
111,2497,3.6835,0.5756,,0.2571,,,True,2497,True
112,2498,1.2378,0.1188,,,,,True,2498,True
113,2499,0.2898,0.2745,,,,,True,2499,True
114,2500,3.8196,0.1314,,,,,True,2500,True
115,2501,2.6387,0.1518,,,,,True,2501,True
116,2502,0.5848,0.1691,,,,,True,2502,True
117,2503,0.4295,0.0435,,,,,True,2503,True
118,2504,9.4205,0.7373,,,,,True,2504,True
119,2514,1.0455,0.2888,,0.2069,,,True,2514,True
120,2515,0.2558,0.1159,,,,,False,2515,
121,2516,2.9392,0.0559,,,,,True,2516,True
122,2517,0.2635,0.081,,,,,True,2517,True
123,2518,2.3366,0.0539,,,,,True,2518,True
124,2519,1.0768,0.1011,,,,,True,2519,True
125,2520,3.5285,0.5014,,0.1973,,,True,2520,True
126,2521,2.0197,0.0663,,,,,True,2521,True
127,2523,2.4837,0.1409,,,,,True,2523,True
128,2525,0.1307,0.0343,,,,,True,2525,True
129,2536,0.6479,0.036,,,,,True,2536,True
130,2538,2.6639,0.6029,,,,,True,2538,True
131,2541,5.0618,0.1457,,,,,True,2541,True
132,2546,0.1126,0.0365,,,,,True,2546,True
133,2547,2.5777,0.0276,,,,,True,2547,True
134,2548,2.2151,0.1499,,,,,True,2548,True
135,2549,2.2108,0.0061,,,,,True,2549,True
136,2550,5.0058,0,,,,,True,2550,True
137,2551,1.2488,0.1581,,,,,True,2551,True
138,2552,4.1234,0.0217,,,,,True,2552,True
139,2553,0.6492,0.0035,,,,,True,2553,True
140,2554,1.2331,0.1707,,,,,True,2554,True
141,2555,1.0482,0.048,,,,,True,2555,True
142,2556,5.3245,0.0454,,,,,True,2556,True
143,2557,1.6912,0.1376,,,,,True,2557,True
144,2562,0,0.412,,,,,True,2562,True
145,2565,1.6016,0.2349,,0.2282,,,True,2565,True
146,2565,1.3739,0.2322,,,,,True,2565,True
147,2566,0.1594,0.1277,,,,,True,2566,True
148,2567,0.6704,0.1651,,,,,True,2567,True
149,2568,1.3179,0.303,,,,,True,2568,True
150,2569,1.3003,0.0354,,,,,True,2569,True
151,2570,4.7235,0.1779,,,,,True,2570,True
152,2571,6.5946,0.355,,0.1797,,,True,2571,True
153,2572,0.4472,0.0897,,,,,True,2572,True
154,2573,0.0794,0.0209,,,,,True,2573,True
155,2574,0.8496,0.1882,,,,,True,2574,True
156,2575,0.9852,0.0644,,,,,True,2575,True
157,2576,1.3288,0.0846,,,,,True,2576,True
158,2578,0.0024,0.0514,,,,,True,2578,True
159,2579,2.3314,0.1439,,0.0892,,,True,2579,True
160,2591,0.028,0.0577,,,,,True,2591,True
161,2594,8.8405,0.5945,,,,,True,2594,True
162,2597,2.3785,0.0588,,,,,True,2597,True
163,2598,0.7242,0.1045,,,,,True,2598,True
164,2618,3.5341,0.3816,,,,,True,2618,True
165,2628,1.0042,0.2066,,,,,True,2628,True
166,2629,0.675,0.1547,,,,,True,2629,True
167,2637,0.0054,0.0434,2,,,,True,2637,True
168,2639,5.2904,0.5318,,,,,True,2639,True
169,2643,4.7437,0.0304,,,,,True,2643,True
170,2644,0.0179,0,0,,,,False,2644,
171,2646,0.0186,0.0126,2,,,,True,2646,True
172,2647,0.429,0.548,,0.1318,,,True,2647,True
173,2648,1.5986,0.1655,,,,,True,2648,True
174,2649,2.9846,0.0914,,,,,True,2649,True
175,2650,2.8306,0.7912,,,,,True,2650,True
176,2651,1.6053,0.5617,,,,,True,2651,True
177,2652,0,0,0,,,,True,2652,True
178,2653,4.1118,0.0551,,,,,True,2653,True
179,2654,2.7404,0.1866,,,,,True,2654,True
180,2655,1.2541,0.0114,,,,,True,2655,True
181,2656,1.2296,0.0142,,,,,True,2656,True
182,2657,3.918,0.1317,,0.2075,,,True,2657,True
183,2658,0.8313,0.5573,,,,,True,2658,True
184,2659,1.261,0.2299,,0.104,,,True,2659,True
185,2660,2.5899,0.0048,,,,,True,2660,True
186,2661,2.1818,0.2937,,,,,True,2661,True
187,2663,0.7318,0.0567,,,,,True,2663,True
188,2671,1.0722,0.0881,,,,,True,2671,True
189,2672,0.9721,1.185,,0.2799,,,True,2672,True
190,2676,1.5251,0.0402,,,,,True,2676,True
191,2682,1.5395,0.1298,,,,,True,2682,True
192,2683,0.08,0.3009,,,,,True,2683,True
193,2684,1.7046,0.5193,,,,,True,2684,True
194,2689,0.0135,0.0232,,,,,True,2689,True
195,2690,0.9853,0.128,,,,,True,2690,True
196,2691,1.0672,0.08,,,,,True,2691,True
197,2692,0.1122,0.0349,,,,,True,2692,True
198,2696,0.2455,0.1365,,,,,True,2696,True
199,2697,1.0087,0.0882,,,,,True,2697,True
200,2698,0.7187,0.1153,,,,,True,2698,True
201,2701,1.1795,0.1057,,,,,True,2701,True
202,2702,0.9094,0.118,,,,,True,2702,True
203,2705,1.2661,0.3812,,,,,True,2705,True
204,2706,3.1953,0.0615,,,,,True,2706,True
205,2708,4.1119,0.3867,,,,,True,2708,True
206,2711,1.2833,0.0956,,,,,True,2711,True
207,2713,3.8102,0.2898,,0.1648,,,True,2713,True
208,2714,1.1834,0.0379,,,,,True,2714,True
209,2717,5.1812,0.4283,,,,,True,2717,True
210,2718,0.7922,0.15,,,,,True,2718,True
211,2719,0.0431,0.0279,,,,,True,2719,True
212,2720,3.3666,0.0542,,,,,True,2720,True
213,2721,5.093,0.3968,,0.2111,,,True,2721,True
214,2723,0.49,0.891,,,,,True,2723,True
215,2724,3.0533,0.2805,,0.1285,,,True,2724,True
216,2725,1.1894,0.0162,,,,,True,2725,True
217,2726,2.1242,0.5818,,0.2643,,,True,2726,True
218,2728,2.0658,0.0085,,,,,True,2728,True
219,2729,0.1305,0.0351,,,,,True,2729,True
220,2730,0.5377,0.1249,,,,,True,2730,True
221,2731,4.6194,0.0582,,,,,True,2731,True
222,2732,0.0591,0.0222,,,,,True,2732,True
223,2734,0.4537,0.3763,,,,,True,2734,True
224,2736,0.0658,0.0158,,,,,True,2736,True
225,2739,2.0908,0.2179,,,,,True,2739,True
226,2741,0.9189,0.146,,,,,True,2741,True
227,2754,0.1592,0.1006,,,,,True,2754,True
228,2755,0.2192,0.2114,,0.1369,,,True,2755,True
229,2756,1.1065,0.3213,,,,,True,2756,True
230,2757,0.3632,0.0796,,,,,True,2757,True
231,2758,0.7601,0.0764,,,,,True,2758,True
232,2763,0.4291,0.4097,,0.2212,,,True,2763,True
233,2783,3.7747,0.2224,,,,,True,2783,True
234,2800,1.0768,0.0097,,,,,True,2800,True
235,2818,4.5106,0.2883,,,,,True,2818,True
236,2819,2.0073,0.1344,,,,,True,2819,True
237,2824,1.4232,0.2513,,0.1766,,,True,2824,True
238,2825,1.7821,0.0398,,,,,True,2825,True
239,2826,0.3444,0.1076,,,,,True,2826,True
240,2827,2.578,0.0388,,,,,True,2827,True
